SNP filtering results for Mullus surmuletus					
ddocent pipeline + additions					
					
filtering step	filter for	individuals retained	SNPs retained 	run time (sec)	output
step 0	ddocent output data	431	49027		mullus.vcf
step 1	call below 50%, mac < 3, min quality score = 30	431	49027	71.00	mullus.g5mac3.recode.vcf
step 2	min mean depth genotype call = 3	431	49027	74.00	mullus.g5mac3dp3.recode.vcf
step 3	remove individuals > 50% missing data	424	49027	70.00	mullus.g5mac3dplm.recode.vcf
step 4	remove sites > 5% missing data, maf 0.05, min mean DP = 5	424	18727	14.00	DP3g95maf05.recode.vcf
step 5	filter for allele balance		17965		DP3g95maf05.fil1.vcf
step 6	filter out sites with reads from both strands		SKIP		
step 7	ration of mapping qualities reference vs alternate alleles		17546		DP3g95maf05.fil3.vcf
step 8	paired status		17546		DP3g95maf05.fil4.vcf
step 9	remove sites quality score < 1/4 depth				DP3g95maf05.fil5.vcf
step 10	depth x quality score cutoff				
step 11	HWE 0.000001				
step 12	He				
step 13	Fis				
